,平均年龄
老鹰,24.47
凯尔特人,24.56
黄蜂,24.6
公牛,24.73
骑士,25.07
小牛,25.07
掘金,25.6
活塞,25.73
勇士,25.87
火箭,26.13
步行者,26.13
快船,26.2
湖人,26.36
灰熊,26.4
热火,26.8
雄鹿,26.87
森林狼,26.89
篮网,27.0
鹈鹕,27.07
尼克斯,27.4
雷霆,27.53
魔术,27.67
76人,27.87
太阳,28.39
开拓者,28.93
国王,29.47
马刺,29.53
猛龙,29.73
爵士,30.5
奇才,31.6
